autoconf 2.72
boost 1.90.0_1
brotli 1.2.0
c-ares 1.34.6
ca-certificates 2025-12-02 2026-03-19
cmake 4.3.1
gh 2.87.3
git-delta 0.19.2
go 1.26.0
icu4c@78 78.2
innoextract 1.9_13
libgit2 1.9.2_1
libnghttp2 1.68.0
libnghttp3 1.15.0
libngtcp2 1.20.0
libssh2 1.11.1_1
libuv 1.52.0
libyaml 0.2.5
llhttp 9.3.1
lz4 1.10.0
m4 1.4.21
node@22 22.22.0
oniguruma 6.9.10
openssl@3 3.6.1
pcre2 10.47_1
pkgconf 2.5.1
rbenv 1.3.2
readline 8.3.3
ripgrep 15.1.0
ruby 4.0.1
ruby-build 20260121
simdjson 4.2.4
simdutf 8.0.0
sqlite 3.51.2_1
starship 1.25.0
terraform 1.5.7
uv 0.11.6
uvwasi 0.0.23
wails 2.11.0
xz 5.8.2
zstd 1.5.7_1
